,14_vwap,14_vol,14_return
2010-01-05,3949.237138547871,0.0,1.0
2010-01-06,3949.237138547871,0.0,1.0
2010-01-07,3949.237138547871,0.0,1.0
2010-01-08,3949.237138547871,0.0,1.0
2010-01-09,3949.237138547871,0.0,1.0
2010-01-10,3949.237138547871,0.0,1.0
2010-01-11,3949.237138547871,0.0,1.0
2010-01-12,3949.237138547871,0.0,1.0
2010-01-13,3949.237138547871,0.0,1.0
2010-01-14,3949.237138547871,0.0,1.0
2010-01-15,3949.237138547871,0.0,1.0
2010-01-16,3949.237138547871,0.0,1.0
2010-01-17,3949.237138547871,0.0,1.0
2010-01-18,3949.237138547871,0.0,1.0
2010-01-19,3949.237138547871,0.0,1.0
2010-01-20,3949.237138547871,0.0,1.0
2010-01-21,3949.237138547871,0.0,1.0
2010-01-22,3949.237138547871,0.0,1.0
2010-01-23,3949.237138547871,0.0,1.0
2010-01-24,3949.237138547871,0.0,1.0
2010-01-25,3949.237138547871,0.0,1.0
2010-01-26,3949.237138547871,0.0,1.0
2010-01-27,3949.237138547871,0.0,1.0
2010-01-28,3949.237138547871,0.0,1.0
2010-01-29,3949.237138547871,0.0,1.0
2010-01-30,3949.237138547871,0.0,1.0
2010-01-31,3949.237138547871,0.0,1.0
2010-02-01,3949.237138547871,0.0,1.0
2010-02-02,3949.237138547871,0.0,1.0
2010-02-03,3949.237138547871,0.0,1.0
2010-02-04,3949.237138547871,0.0,1.0
2010-02-05,3949.237138547871,0.0,1.0
2010-02-06,3949.237138547871,0.0,1.0
2010-02-07,3949.237138547871,0.0,1.0
2010-02-08,3949.237138547871,0.0,1.0
2010-02-09,3949.237138547871,0.0,1.0
2010-02-10,3949.237138547871,0.0,1.0
2010-02-11,3949.237138547871,0.0,1.0
2010-02-12,3949.237138547871,0.0,1.0
2010-02-13,3949.237138547871,0.0,1.0
2010-02-14,3949.237138547871,0.0,1.0
2010-02-15,3949.237138547871,0.0,1.0
2010-02-16,3949.237138547871,0.0,1.0
2010-02-17,3949.237138547871,0.0,1.0
2010-02-18,3949.237138547871,0.0,1.0
2010-02-19,3949.237138547871,0.0,1.0
2010-02-20,3949.237138547871,0.0,1.0
2010-02-21,3949.237138547871,0.0,1.0
2010-02-22,3949.237138547871,0.0,1.0
2010-02-23,3949.237138547871,0.0,1.0
2010-02-24,3949.237138547871,0.0,1.0
2010-02-25,3949.237138547871,0.0,1.0
2010-02-26,3949.237138547871,0.0,1.0
2010-02-27,3949.237138547871,0.0,1.0
2010-02-28,3949.237138547871,0.0,1.0
2010-03-01,3949.237138547871,0.0,1.0
2010-03-02,3949.237138547871,0.0,1.0
2010-03-03,3949.237138547871,0.0,1.0
2010-03-04,3949.237138547871,0.0,1.0
2010-03-05,3949.237138547871,0.0,1.0
2010-03-06,3949.237138547871,0.0,1.0
2010-03-07,3949.237138547871,0.0,1.0
2010-03-08,3949.237138547871,0.0,1.0
2010-03-09,3949.237138547871,0.0,1.0
2010-03-10,3949.237138547871,0.0,1.0
2010-03-11,3949.237138547871,0.0,1.0
2010-03-12,3949.237138547871,0.0,1.0
2010-03-13,3949.237138547871,0.0,1.0
2010-03-14,3949.237138547871,0.0,1.0
2010-03-15,3949.237138547871,0.0,1.0
2010-03-16,3949.237138547871,0.0,1.0
2010-03-17,3949.237138547871,0.0,1.0
2010-03-18,3949.237138547871,0.0,1.0
2010-03-19,3949.237138547871,0.0,1.0
2010-03-20,3949.237138547871,0.0,1.0
2010-03-21,3949.237138547871,0.0,1.0
2010-03-22,3949.237138547871,0.0,1.0
2010-03-23,3949.237138547871,0.0,1.0
2010-03-24,3949.237138547871,0.0,1.0
2010-03-25,3949.237138547871,0.0,1.0
2010-03-26,3949.237138547871,0.0,1.0
2010-03-27,3949.237138547871,0.0,1.0
2010-03-28,3949.237138547871,0.0,1.0
2010-03-29,3949.237138547871,0.0,1.0
2010-03-30,3949.237138547871,0.0,1.0
2010-03-31,3949.237138547871,0.0,1.0
2010-04-01,3949.237138547871,0.0,1.0
2010-04-02,3949.237138547871,0.0,1.0
2010-04-03,3949.237138547871,0.0,1.0
2010-04-04,3949.237138547871,0.0,1.0
2010-04-05,3949.237138547871,0.0,1.0
2010-04-06,3949.237138547871,0.0,1.0
2010-04-07,3949.237138547871,0.0,1.0
2010-04-08,3949.237138547871,0.0,1.0
2010-04-09,3949.237138547871,0.0,1.0
2010-04-10,3949.237138547871,0.0,1.0
2010-04-11,3949.237138547871,0.0,1.0
2010-04-12,3949.237138547871,0.0,1.0
2010-04-13,3949.237138547871,0.0,1.0
2010-04-14,3949.237138547871,0.0,1.0
2010-04-15,3949.237138547871,0.0,1.0
2010-04-16,3949.237138547871,0.0,1.0
2010-04-17,3949.237138547871,0.0,1.0
2010-04-18,3949.237138547871,0.0,1.0
2010-04-19,3949.237138547871,0.0,1.0
2010-04-20,3949.237138547871,0.0,1.0
2010-04-21,3949.237138547871,0.0,1.0
2010-04-22,3949.237138547871,0.0,1.0
2010-04-23,3949.237138547871,0.0,1.0
2010-04-24,3949.237138547871,0.0,1.0
2010-04-25,3949.237138547871,0.0,1.0
2010-04-26,3949.237138547871,0.0,1.0
2010-04-27,3949.237138547871,0.0,1.0
2010-04-28,3949.237138547871,0.0,1.0
2010-04-29,3949.237138547871,0.0,1.0
2010-04-30,3949.237138547871,0.0,1.0
2010-05-01,3949.237138547871,0.0,1.0
2010-05-02,3949.237138547871,0.0,1.0
2010-05-03,3949.237138547871,0.0,1.0
2010-05-04,3949.237138547871,0.0,1.0
2010-05-05,3949.237138547871,0.0,1.0
2010-05-06,3949.237138547871,0.0,1.0
2010-05-07,3949.237138547871,0.0,1.0
2010-05-08,3949.237138547871,0.0,1.0
2010-05-09,3949.237138547871,0.0,1.0
2010-05-10,3949.237138547871,0.0,1.0
2010-05-11,3949.237138547871,0.0,1.0
2010-05-12,3949.237138547871,0.0,1.0
2010-05-13,3949.237138547871,0.0,1.0
2010-05-14,3949.237138547871,0.0,1.0
2010-05-15,3949.237138547871,0.0,1.0
2010-05-16,3949.237138547871,0.0,1.0
2010-05-17,3949.237138547871,0.0,1.0
2010-05-18,3949.237138547871,0.0,1.0
2010-05-19,3949.237138547871,0.0,1.0
2010-05-20,3949.237138547871,0.0,1.0
2010-05-21,3949.237138547871,0.0,1.0
2010-05-22,3949.237138547871,0.0,1.0
2010-05-23,3949.237138547871,0.0,1.0
2010-05-24,3949.237138547871,0.0,1.0
2010-05-25,3949.237138547871,0.0,1.0
2010-05-26,3949.237138547871,0.0,1.0
2010-05-27,3949.237138547871,0.0,1.0
2010-05-28,3949.237138547871,0.0,1.0
2010-05-29,3949.237138547871,0.0,1.0
2010-05-30,3949.237138547871,0.0,1.0
2010-05-31,3949.237138547871,0.0,1.0
2010-06-01,3949.237138547871,0.0,1.0
2010-06-02,3949.237138547871,0.0,1.0
2010-06-03,3949.237138547871,0.0,1.0
2010-06-04,3949.237138547871,0.0,1.0
2010-06-05,3949.237138547871,0.0,1.0
2010-06-06,3949.237138547871,0.0,1.0
2010-06-07,3949.237138547871,0.0,1.0
2010-06-08,3949.237138547871,0.0,1.0
2010-06-09,3949.237138547871,0.0,1.0
2010-06-10,3949.237138547871,0.0,1.0
2010-06-11,3949.237138547871,0.0,1.0
2010-06-12,3949.237138547871,0.0,1.0
2010-06-13,3949.237138547871,0.0,1.0
2010-06-14,3949.237138547871,0.0,1.0
2010-06-15,3949.237138547871,0.0,1.0
2010-06-16,3949.237138547871,0.0,1.0
2010-06-17,3949.237138547871,0.0,1.0
2010-06-18,3949.237138547871,0.0,1.0
